code,first_name,id,second_name,team_code,web_name
40784,Mamadou,127,Sakho,31,Sakho
40836,Vicente,128,Guaita,31,Guaita
49413,James,129,Tomkins,31,Tomkins
50471,James,130,McArthur,31,McArthur
50472,James,131,McCarthy,31,McCarthy
54861,Christian,132,Benteke,31,Benteke
55037,Cheikhou,133,Kouyaté,31,Kouyaté
55494,Joel,134,Ward,31,Ward
58786,Martin,135,Kelly,31,Kelly
59125,Connor,136,Wickham,31,Wickham
60252,Andros,137,Townsend,31,Townsend
66975,Luka,138,Milivojevic,31,Milivojevic
74230,Patrick,139,van Aanholt,31,van Aanholt
80146,Jordan,140,Ayew,31,Ayew
82403,Wilfried,141,Zaha,31,Zaha
86417,Jeffrey,142,Schlupp,31,Schlupp
141020,Max,143,Meyer,31,Meyer
173954,Jairo,144,Riedewald,31,Riedewald
232423,Nathan,145,Ferguson,31,Ferguson
244723,Tyrick,146,Mitchell,31,Mitchell
466955,Brandon,147,Pierrick,31,Pierrick
19188,Scott,486,Dann,31,Dann
232413,Eberechi,489,Eze,31,Eze
221272,Sam,522,Woods,31,Woods
114536,Ryan,534,Inniss,31,Inniss
57328,Nathaniel,577,Clyne,31,Clyne
42525,Stephen,578,Henderson,31,Henderson
105666,Jack,586,Butland,31,Butland
231747,Jean-Philippe,641,Mateta,31,Mateta
223824,Reece,675,Hannam,31,Hannam
450542,Jesurun,688,Rak-Sakyi,31,Rak-Sakyi
41823,Fabian,149,Delph,11,Delph
55422,Gylfi,150,Sigurdsson,11,Sigurdsson
57513,Jonas,151,Lössl,11,Lössl
59949,Seamus,152,Coleman,11,Coleman
66838,Cenk,153,Tosun,11,Tosun
100649,Bernard,154,Anício Caldeira Duarte,11,Bernard
101188,Lucas,155,Digne,11,Digne
106611,Michael,156,Keane,11,Keane
111234,Jordan,157,Pickford,11,Pickford
120250,André Filipe,158,Tavares Gomes,11,André Gomes
153133,Alex,159,Iwobi,11,Iwobi
153673,Jonjoe,160,Kenny,11,Kenny
160987,Jean-Philippe,161,Gbamin,11,Gbamin
164511,Yerry,162,Mina,11,Mina
173807,Tom,163,Davies,11,Davies
177815,Dominic,164,Calvert-Lewin,11,Calvert-Lewin
194164,Mason,165,Holgate,11,Holgate
212319,Richarlison,166,de Andrade,11,Richarlison
222627,João,167,Virgínia,11,Virgínia
232826,Anthony,168,Gordon,11,Gordon
242058,Moise,169,Kean,11,Kean
480455,Jarrad,170,Branthwaite,11,Branthwaite
119765,Allan,502,Marques Loureiro,11,Allan
60025,James,508,Rodríguez,11,Rodríguez
121599,Abdoulaye,512,Doucouré,11,Doucouré
495542,Niels,559,Nkounkou,11,Nkounkou
198826,Ben,566,Godfrey,11,Godfrey
111782,Robin,573,Olsen,11,Olsen
218997,Ellis,596,Simms,11,Simms
461446,Tyler,644,Onyango,11,Onyango
78007,Joshua,651,King,11,King
232829,Kyle,679,John,11,John
173818,Nathan,680,Broadhead,11,Broadhead
422612,Ryan,681,Astley,11,Astley
447325,Harry,682,Tyrer,11,Tyrer
474907,Reece,690,Welch,11,Welch
491559,Isaac,691,Price,11,Price
126187,Ruben,115,Loftus-Cheek,8,Loftus-Cheek
40559,Fabricio,171,Agosto Ramírez,54,Fabri
55038,Kevin,172,McDonald,54,McDonald
61739,Maxime,173,Le Marchand,54,Le Marchand
61916,Stefan,174,Johansen,54,Johansen
76357,Tom,175,Cairney,54,Cairney
82514,Tim,176,Ream,54,Ream
83543,Anthony,177,Knockaert,54,Knockaert
84915,Michael,178,Hector,54,Hector
87107,Cyrus,179,Christie,54,Christie
92259,Neeskens,180,Kebano,54,Kebano
96994,Bobby,181,Decordova-Reid,54,Decordova-Reid
101105,Joe,182,Bryan,54,Bryan
122074,Marcus,183,Bettinelli,54,Bettinelli
128389,Aleksandar,184,Mitrović,54,Mitrović
149266,Alfie,185,Mawson,54,Mawson
155529,Marek,186,Rodák,54,Rodák
166324,Ivan Ricardo,187,Neves Abreu Cavaleiro,54,Cavaleiro
168765,Josh,188,Onomah,54,Onomah
170271,Jean Michaël,189,Seri,54,Seri
197030,Aboubakar,190,Kamara,54,Kamara
203325,André-Frank,191,Zambo Anguissa,54,Anguissa
208998,Zeze Steven,192,Sessegnon,54,Sessegnon
153366,Harrison,373,Reed,54,Reed
169528,Antonee,484,Robinson,54,Robinson
151086,Mario,493,Lemina,54,Lemina
84182,Alphonse,516,Areola,54,Areola
167074,Kenny,517,Tete,54,Tete
72681,Denis,525,Odoi,54,Odoi
219352,Ademola,557,Lookman,54,Lookman
159506,Ola,562,Aina,54,Aina
174874,Joachim,571,Andersen,54,Andersen
109646,Tosin,572,Adarabioyo,54,Adarabioyo
109434,Terence,585,Kongolo,54,Kongolo
195480,Josh,665,Maja,54,Maja
244858,Fabio,695,Carvalho,54,Carvalho
223335,Sylvester,707,Jasper,54,Jasper
432931,Tyrese,708,Francois,54,Francois
15033,Wes,216,Morgan,13,Morgan
17745,Kasper,217,Schmeichel,13,Schmeichel
37402,Christian,218,Fuchs,13,Fuchs
37642,Jonny,219,Evans,13,Evans
46483,Adrien,220,Silva,13,Silva
51938,Marc,221,Albrighton,13,Albrighton
61604,Matty,222,James,13,James
95463,Danny,223,Ward,13,Ward
101668,Jamie,224,Vardy,13,Vardy
106837,Dennis,225,Praet,13,Praet
111931,Ricardo Domingos,226,Barbosa Pereira,13,Pereira
155569,Daniel,227,Amartey,13,Amartey
166989,Youri,228,Tielemans,13,Tielemans
168580,Ayoze,229,Pérez,13,Pérez
172632,Demarai,230,Gray,13,Gray
172780,James,231,Maddison,13,Maddison
173515,Kelechi,233,Iheanacho,13,Iheanacho
197469,Hamza,234,Choudhury,13,Choudhury
201666,Harvey,235,Barnes,13,Barnes
203341,Wilfred,236,Ndidi,13,Ndidi
213405,Filip,237,Benkovic,13,Benkovic
218031,Çaglar,238,Söyüncü,13,Söyüncü
220627,James,239,Justin,13,Justin
244619,Luke,240,Thomas,13,Thomas
166477,Timothy,498,Castagne,13,Castagne
86881,Nampalys,518,Mendy,13,Mendy
228798,Cengiz,541,Ünder,13,Ünder
444463,Wesley,561,Fofana,13,Fofana
149828,Islam,579,Slimani,13,Slimani
232229,Vontae,660,Daley-Campbell,13,Daley-Campbell
232881,Thakgalo,661,Leshabela,13,Leshabela
421796,Sidnei,676,Tavares,13,Tavares
447373,Shane,684,Flynn,13,Flynn
513789,Thanawat,687,Suengchitthawon,13,Suengchitthawon
461585,Tawanda,703,Maswanhise,13,Maswanhise
28690,Pablo,193,Hernández Domínguez,2,Hernández
39790,Francisco,194,Casilla Cortés,2,Casilla
55914,Liam,195,Cooper,2,Cooper
57913,Barry,196,Douglas,2,Douglas
66588,Luke,197,Ayling,2,Ayling
72222,Mateusz,198,Klich,2,Klich
80179,Adam,199,Forshaw,2,Forshaw
87873,Stuart,200,Dallas,2,Dallas
105377,Ezgjan,201,Alioski,2,Alioski
106617,Patrick,202,Bamford,2,Bamford
221399,Jack,203,Harrison,2,Harrison
155405,Kalvin,204,Phillips,2,Phillips
165808,Hélder Wander,205,Sousa de Azevedo e Costa,2,Costa
173821,Tyler,206,Roberts,2,Roberts
204642,Jay-Roy,207,Grot,2,Grot
214987,Kamil,208,Miazek,2,Miazek
215460,Ian Carlo,209,Poveda-Ocampo,2,Poveda-Ocampo
221610,Jamie,210,Shackleton,2,Shackleton
222694,Pascal,211,Struijk,2,Struijk
434138,Jordan,212,Stevens,2,Stevens
437495,Illan,213,Meslier,2,Meslier
455084,Leif,214,Davis,2,Davis
467114,Oliver,215,Casey,2,Casey
193645,Robin,491,Koch,2,Koch
80954,Rodrigo,492,Moreno,2,Rodrigo
463912,Elia,532,Caprile,2,Caprile
480216,Mateusz,533,Bogusz,2,Bogusz
149915,Diego,549,Llorente,2,Llorente
219961,Raphael,570,Dias Belloli,2,Raphinha
492374,Jack,599,Jenkins,2,Jenkins
492066,Niall,619,Huggins,2,Huggins
492373,Charlie,620,Cresswell,2,Cresswell
462635,Joe,667,Gelhardt,2,Gelhardt
38588,Gaetano,685,Berardi,2,Berardi
248937,Sam,692,Greenwood,2,Greenwood
450070,Crysencio,693,Summerville,2,Summerville
433590,Cody,694,Drameh,2,Drameh
15157,James,241,Milner,14,Milner
214285,Konstantinos,242,Tsimikas,14,Tsimikas
41733,Georginio,243,Wijnaldum,14,Wijnaldum
56979,Jordan,244,Henderson,14,Henderson
60706,Adrián,245,San Miguel del Castillo,14,Adrián
60914,Joel,246,Matip,14,Matip
68312,Xherdan,247,Shaqiri,14,Shaqiri
81880,Alex,248,Oxlade-Chamberlain,14,Chamberlain
92217,Roberto,249,Firmino,14,Firmino
97032,Virgil,250,van Dijk,14,van Dijk
110979,Sadio,251,Mané,14,Mané
116535,Alisson,252,Ramses Becker,14,Alisson
116643,Fabio Henrique,253,Tavares,14,Fabinho
118748,Mohamed,254,Salah,14,Salah
122798,Andrew,255,Robertson,14,Robertson
152760,Divock,256,Origi,14,Origi
153682,Harry,257,Wilson,14,Harry Wilson
169187,Trent,259,Alexander-Arnold,14,Alexander-Arnold
171287,Joseph,260,Gomez,14,Gomez
175592,Naby,261,Keita,14,Keita
206915,Curtis,263,Jones,14,Jones
215136,Neco,264,Williams,14,Neco Williams
444884,Harvey,265,Elliott,14,Elliott
194634,Diogo,468,Jota,39,Jota
61558,Thiago,531,Alcántara do Nascimento,14,Thiago
200720,Caoimhin,560,Kelleher,14,Kelleher
197464,Nathaniel,589,Phillips,14,Phillips
219937,Rhys,594,Williams,14,Rhys Williams
233489,Leighton,601,Clarkson,14,Clarkson
243343,Jake,607,Cain,14,Cain
438277,Ozan,652,Kabak,14,Kabak
152898,Ben,653,Davies,14,Davies
433019,Liam,677,Hughes,14,Hughes
490138,Jakub,678,Ojrzynski,14,Ojrzynski
182436,Ben,696,Woodburn,14,Woodburn
480818,Billy,697,Koumetio,14,Koumetio
27789,Fernando,266,Luiz Rosa,43,Fernandinho
33148,Claudio,267,Bravo,43,Bravo
37572,Sergio,268,Agüero,43,Agüero
57410,Nicolás,269,Otamendi,43,Otamendi
58621,Kyle,270,Walker,43,Walker
59859,Ilkay,271,Gündogan,43,Gündogan
61366,Kevin,272,De Bruyne,43,De Bruyne
97299,John,273,Stones,43,Stones
